"CODIGOMATERIA","MATERIA","DIFICULTAD"
ESTT3003       ,ESTADÍSTICA,8.63
EYAG1027       ,APLICACIONES ELECTRÓNICAS,6.30
EYAG1028       ,AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES,8.32
EYAG1029       ,COMUNICACIONES INDUSTRIALES Y SISTEMAS SCADA,8.45
EYAG1030       ,CONTROL AVANZADO,6.77
EYAG1034       ,ELECTRÓNICA,6.86
EYAG1035       ,ELECTRÓNICA DE POTENCIA I,7.67
EYAG1036       ,ELECTRÓNICA DE POTENCIA II,8.21
EYAG1037       ,FUNDAMENTOS DE ELECTRICIDAD Y SISTEMAS DIGITALES,7.72
EYAG1038       ,INSTRUMENTACIÓN INDUSTRIAL,8.28
EYAG1039       ,MATERIA INTEGRADORA DE ELECTRÓNICA Y AUTOMATIZACIÓN,8.92
EYAG1040       ,PRINCIPIOS DE ELECTRÓNICA,6.20
EYAG1041       ,PROGRAMACIÓN APLICADA A LA AUTOMATIZACIÓN,7.30
EYAG1042       ,ROBÓTICA INDUSTRIAL,7.79
EYAG1043       ,SISTEMAS DE CONTROL,6.30
EYAG1044       ,SISTEMAS DIGITALES I,7.10
EYAG1045       ,SISTEMAS DIGITALES II,6.38
EYAG1046       ,SISTEMAS EMBEBIDOS,7.94
EYAT3001       ,INSTRUMENTACIÓN,8.44
EYAT3002       ,CONTROL DE POTENCIA,8.08
EYAT3003       ,CONTROLES INDUSTRIALES,9.12
EYAT3004       ,CONTROL PROGRAMABLE,8.18
FISG1005       ,FÍSICA: MECÁNICA,5.81
FISG1006       ,FÍSICA: ELECTRICIDAD Y MAGNETISMO,6.31
FISG1007       ,FÍSICA: ELECTRÓNICA Y ÓPTICA,7.32
FISG1008       ,FÍSICA: TERMODINÁMICA Y ELECTRÓNICA,6.92
FISG1009       ,FÍSICA: TERMODINÁMICA Y ÓPTICA,6.61
FISG2002       ,FÍSICA GENERAL,7.17
GEOG1026       ,DEPÓSITOS MINERALES,7.65
GEOG1027       ,DISEÑO DE CAMPO GEOLÓGICO,8.14
GEOG1028       ,ESTRATIGRAFIA Y SEDIMENTACIÓN,8.18
GEOG1029       ,EVALUACIÓN DE YACIMIENTOS MINERALES,8.22
GEOG1030       ,GEOLOGIA DE ECUADOR,8.68
GEOG1031       ,GEOLOGÍA DEL PETRÓLEO,8.89
GEOG1032       ,GEOLOGÍA ESTRUCTURAL,6.97
GEOG1033       ,GEOLOGÍA GENERAL,7.38
GEOG1034       ,GEOMORFOLOGIA,8.43
GEOG1035       ,GEOQUIMICA,8.50
GEOG1036       ,HIDROGEOLOGÍA,7.88
GEOG1037       ,INGENIERÍA GEOLÓGICA,7.96
GEOG1038       ,LEGISLACIÓN Y MITIGACIÓN AMBIENTAL,8.99
GEOG1039       ,MATERIA INTEGRADORA DE GEOLOGÍA,8.47
GEOG1040       ,MÉTODOS GEOFÍSICOS,7.73
GEOG1041       ,MINERALOGÍA,5.88
GEOG1042       ,MINERALOGÍA ÓPTICA,7.17
GEOG1044       ,PALEONTOLOGÍA APLICADA,8.01
GEOG1045       ,PETROLOGIA SEDIMENTARIA,7.47
GEOG1046       ,PETROLOGÍA ÍGNEA Y METAMÓRFICA,8.46
GEOG1047       ,SISTEMAS DE INFORMACIÓN GEOGRÁFICA,7.67
GEOG1048       ,TECTONICA,8.00
GEOG1050       ,VULNERABILIDAD Y RIESGO GEOLÓGICO,7.87
GEOG1051       ,MECÁNICA DE MATERIALES GEOLÓGICOS,7.74
GEOG1052       ,GEOLOGÍA PARA INGENIEROS EN PETRÓLEO,8.57
HISG2002       ,INTRODUCCIÓN A LA HISTORIA Y ETNOHISTORIA,7.95
IDIG1006       ,INGLÉS I,7.09
IDIG1007       ,INGLÉS II,7.22
IDIG1008       ,INGLÉS III,7.56
IDIG1009       ,INGLÉS IV,7.49
IDIG1010       ,INGLÉS V,7.33
IDIG1802       ,INGLÉS I,6.64
IDIG1806       ,INGLÉS II,6.78
IDIG2012       ,COMUNICACIÓN,7.95
IDIT3002       ,COMUNICACIÓN,8.90
IDIT3003       ,INGLÉS TÉCNICO I,8.46
IDIT3004       ,INGLÉS TÉCNICO II,9.75
INDG1033       ,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,8.43
INDG1034       ,ANÁLISIS DE VALOR DE PRODUCTO,8.35
INDG1035       ,DISEÑO DE PLANTAS,7.73
