CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
MCTG1012,G,DISEÑO DE ELEMENTOS DE MÁQUINAS,2020,0S,"6,69"
MCTG1013,G,DISEÑO MECATRÓNICO,2020,0S,"7,52"
MCTG1014,G,DISEÑO Y MANUFACTURA ASISTIDA POR COMPUTADORA,2020,0S,"8,29"
MCTG1015,G,DISEÑO Y SIMULACIÓN DE MÁQUINAS,2020,0S,"8,31"
MCTG1016,G,HIDRÁULICA Y NEUMÁTICA,2021,0S,"8,68"
MCTG1017,G,INTRODUCCIÓN A LA MANUFACTURA,2020,0S,"8,05"
MCTG1018,G,INTRODUCCIÓN A LA MECATRÓNICA,2020,0S,"8,16"
MCTG1019,G,SISTEMAS BIOMECATRÓNICOS,2021,0S,"7,68"
MCTG1020,G,SISTEMAS FLEXIBLES DE MANUFACTURA,2020,0S,"7,78"
MCTG1021,G,ROBOTS MÓVILES Y ARTICULADOS,2020,0S,"7,61"
MCTG1022,G,SISTEMAS DE MONITOREO Y CONTROL INDUSTRIAL,2020,0S,"8,65"
MCTG1028,T,MATERIA INTEGRADORA DE MECATRÓNICA,2020,0S,"8,69"
MCTT3011,G,OLEOHIDRÁULICA Y NEUMÁTICA,2024,0S,"7,64"
MCTT3014,G,MANTENIMIENTO,2024,0S,"9,16"
MCTT3015,G,MONTAJE,2024,0S,"9,38"
MCTT3017,T,MATERIA INTEGRADORA DE TECNOLOGÍA,2024,0S,"8,47"
MECG1041,G,DIBUJO PARA INGENIERÍA,2020,0S,"7,25"
MECG1042,G,DINÁMICA,2020,0S,"6,83"
MECG1043,G,DISEÑO DE SISTEMAS MECÁNICOS,2020,0S,"7,57"
MECG1044,G,DISEÑO DE SISTEMAS TERMOFLUIDOS,2020,0S,"7,49"
MECG1045,G,DISEÑO MECÁNICO,2020,0S,"7,24"
MECG1046,G,INSTRUMENTACIÓN,2020,0S,"6,94"
MECG1047,G,INTRODUCCIÓN A LA INGENIERÍA MECÁNICA,2020,0S,"8,11"
MECG1048,G,MANTENIMIENTO INDUSTRIAL,2020,0S,"8,00"
MECG1049,G,MECÁNICA DE FLUIDOS,2020,0S,"6,79"
MECG1050,G,MECÁNICA DE SÓLIDOS,2020,0S,"6,97"
MECG1051,G,MECÁNICA DE MAQUINARIA,2020,0S,"6,49"
MECG1052,G,MECÁNICA VECTORIAL,2020,0S,"6,56"
MECG1053,G,PROCESOS DE MANUFACTURA,2020,0S,"6,96"
MECG1054,G,TERMOFLUIDOS,2020,0S,"7,15"
MECG1055,G,SISTEMAS DE CONTROL APLICADOS,2020,0S,"6,80"
MECG1056,G,TURBOMAQUINARIA Y PLANTAS DE POTENCIA,2020,0S,"6,72"
MECG1057,G,PROCESOS DE MECANIZACIÓN,2020,0S,"7,36"
MECG1058,G,TRANSFERENCIA DE CALOR,2020,0S,"6,50"
MECG1059,G,TALLER MECÁNICO,2020,0S,"7,82"
MECG1060,G,ESTÁTICA,2020,0S,"7,47"
MECG1061,G,TERMODINÁMICA,2020,0S,"7,37"
MECG1064,G,TERMODINÁMICA I,2020,0S,"7,51"
MECG1065,G,TERMODINÁMICA II,2020,0S,"7,08"
MECG1066,T,MATERIA INTEGRADORA DE MECÁNICA,2020,0S,"8,56"
MECG1067,G,REOLOGÍA DE FLUIDOS,2020,0S,"7,30"
MECG1068,G,TRANSFERENCIA DE CALOR Y MASA,2020,0S,"7,27"
MECT3001,G,PROCESOS DE MANUFACTURA,2024,0S,"8,33"
MECT3002,G,ENSAMBLAJE,2024,0S,"7,49"
MECT3003,G,DIBUJO TÉCNICO,2023,0S,"8,35"
MECT3004,G,TALLER BÁSICO,2023,0S,"8,06"
MECT3005,G,ELEMENTOS DE MÁQUINAS,2023,0S,"8,43"
MEDG1015,G,BIOGEOGRAFÍA,2020,0S,"9,54"
MEDG1017,G,BOTÁNICA GENERAL,2020,0S,"7,43"
MEDG1018,G,BOTÁNICA SISTEMÁTICA,2020,0S,"8,51"
MEDG1019,G,EMBRIOLOGÍA,2020,0S,"8,65"
MEDG1020,G,ENTOMOLOGÍA,2020,0S,"8,64"
MEDG1021,G,EVOLUCIÓN,2020,0S,"8,85"
MEDG1022,G,GENOTECNIA,2020,0S,"8,49"
MEDG1023,G,GENÉTICA,2020,0S,"9,61"
MEDG1024,G,INMUNOLOGÍA,2020,0S,"7,59"
MEDG1025,G,ZOOLOGÍA DE VERTEBRADOS,2020,0S,"8,84"
MEDG1026,G,ZOOLOGÍA DE INVERTEBRADOS,2020,0S,"8,46"
MEDG2007,G,INMUNOLOGÍA NUTRICIONAL I,2017,1S,"8,23"
