CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
BIOG1025,INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,0,122,"0,00",G,INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,2021,0S,"9,48"
BIOG1026,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,21,642,"3,27",G,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,2020,0S,"8,56"
BIOG1027,MATERIA INTEGRADORA DE BIOLOGÍA,3,169,"1,78",T,MATERIA INTEGRADORA DE BIOLOGÍA,2020,0S,"9,26"
BIOG1028,MICROBIOLOGÍA GENERAL,15,557,"2,69",G,MICROBIOLOGÍA GENERAL,2020,0S,"8,24"
BIOG1029,VIROLOGÍA,10,183,"5,46",G,VIROLOGÍA,2020,0S,"7,45"
BIOG1030,BIOINFORMÁTICA,8,198,"4,04",G,BIOINFORMÁTICA,2020,0S,"8,15"
CADG2025,ANIMACIÓN I,31,249,"12,45",G,ANIMACIÓN I,2020,0S,"7,29"
CADG2026,ANIMACIÓN II,19,190,"10,00",G,ANIMACIÓN II,2020,0S,"7,37"
CADG2027,DIRECCIÓN AUDIOVISUAL,20,243,"8,23",G,DIRECCIÓN AUDIOVISUAL,2020,0S,"8,23"
CADG2028,DIRECCIÓN ESCÉNICA,8,241,"3,32",G,DIRECCIÓN ESCÉNICA,2020,0S,"7,77"
CADG2029,DISEÑO DE PRODUCCIÓN,21,436,"4,82",G,DISEÑO DE PRODUCCIÓN,2020,0S,"8,22"
CADG2030,EDICIÓN Y MONTAJE,9,356,"2,53",G,EDICIÓN Y MONTAJE,2020,0S,"8,16"
CADG2031,FOTOGRAFÍA PARA MEDIOS,34,376,"9,04",G,FOTOGRAFÍA PARA MEDIOS,2020,0S,"7,22"
CADG2032,GUION,12,286,"4,20",G,GUION,2020,0S,"7,94"
CADG2033,LEGISLACIÓN AUDIOVISUAL,27,262,"10,31",G,LEGISLACIÓN AUDIOVISUAL,2020,0S,"6,92"
CADG2034,NARRATIVA AUDIOVISUAL,13,339,"3,83",G,NARRATIVA AUDIOVISUAL,2020,0S,"8,91"
CADG2035,POSTPRODUCCIÓN,3,247,"1,21",G,POSTPRODUCCIÓN,2020,0S,"8,50"
CADG2036,PREPRODUCCIÓN,5,403,"1,24",G,PREPRODUCCIÓN,2020,0S,"8,44"
